age,education-num,hours-per-week,capital-gain,capital-loss,sex,married,income
20,10,20,0,0,1,1,0
49,10,40,0,0,1,1,1
61,9,40,0,0,1,1,0
27,10,40,0,0,0,1,0
19,10,30,0,0,1,1,0
45,11,40,0,1564,0,1,1
70,10,40,0,0,1,1,0
31,9,30,0,0,0,1,0
22,10,24,0,0,1,1,0
36,9,24,0,0,0,0,0
64,7,40,0,2179,1,1,0
43,10,40,0,0,0,0,0
47,10,38,0,0,0,0,0
34,9,40,0,0,0,1,0
33,13,40,0,0,0,1,0
21,9,35,0,0,1,1,0
52,9,45,0,0,1,0,1
48,9,46,0,0,1,1,0
23,13,40,0,0,1,1,0
71,10,2,0,1816,1,0,0
29,9,60,0,0,1,0,0
42,13,50,0,0,1,0,0
68,2,20,0,0,0,0,0
25,9,40,0,0,0,1,0
44,14,40,0,0,0,0,0
28,9,40,0,0,0,1,0
45,14,40,0,0,1,1,1
36,10,40,0,0,0,0,0
39,12,42,0,0,1,1,0
46,14,40,0,0,1,0,0
18,7,16,0,0,1,1,0
66,11,20,0,0,0,0,0
27,9,40,0,1980,1,1,0
28,9,40,0,0,1,1,0
51,10,40,0,1977,1,1,1
27,13,50,0,0,1,1,0
28,13,40,0,0,1,1,1
27,9,25,0,0,0,1,0
21,9,40,0,0,1,1,0
34,9,40,0,0,1,1,0
18,9,12,0,0,1,1,0
33,13,65,0,0,1,1,0
44,10,38,0,0,1,1,1
43,10,40,0,0,0,0,0
30,10,45,0,0,1,1,0
40,4,40,0,0,1,1,1
37,10,42,0,0,1,1,1
34,9,40,0,0,1,1,0
41,13,40,0,0,0,0,0
53,13,50,0,0,0,0,0
31,14,50,0,0,0,1,0
58,16,1,0,0,1,1,1
38,10,28,0,0,0,0,0
24,10,40,0,0,1,1,0
41,13,40,0,0,1,1,0
47,10,45,0,0,1,1,0
41,13,24,0,0,1,1,0
23,3,40,0,0,1,1,0
36,10,40,0,0,1,0,0
40,14,55,14084,0,0,1,1
35,14,40,7298,0,1,1,1
24,9,40,0,0,1,1,0
26,14,40,0,1876,0,1,0
19,9,40,0,0,1,1,0
51,13,50,0,0,1,1,1
42,10,40,0,1340,0,1,0
37,9,35,0,0,0,0,0
18,7,40,0,0,0,1,0
36,13,36,7298,0,1,1,1
35,9,60,0,0,1,0,0
58,9,35,15024,0,0,1,1
17,7,12,0,0,0,1,0
44,9,40,0,0,1,1,0
37,9,40,0,0,1,1,1
35,10,40,0,0,0,1,0
60,9,40,0,0,1,1,0
54,4,40,0,0,1,1,1
37,13,60,0,0,1,1,1
50,12,40,0,0,0,0,0
38,13,50,0,0,1,1,0
45,13,55,0,0,1,1,0
25,6,40,0,0,1,1,0
31,10,40,0,0,1,1,0
64,2,40,0,0,1,0,0
90,9,40,0,2206,1,1,0
54,9,20,0,0,1,1,0
53,1,35,0,0,0,1,0
18,9,40,0,0,0,1,0
60,6,10,0,0,0,0,0
66,9,50,1409,0,1,1,0
75,11,20,0,0,0,0,0
65,9,40,0,0,0,0,0
35,7,40,3674,0,1,0,0
41,9,38,0,0,0,0,0
25,10,42,0,0,1,1,0
33,10,40,0,0,0,0,0
28,15,55,0,0,1,1,1
59,9,40,0,0,1,1,0
40,10,38,0,0,0,1,0
41,13,50,0,0,1,1,1
38,14,70,0,0,1,1,1
23,9,40,0,0,1,1,0
40,13,40,0,0,1,1,1
41,9,20,0,0,0,1,0
24,12,50,0,0,1,1,0
20,10,20,0,0,1,1,0
38,10,40,0,1741,1,0,0
56,9,35,0,0,1,1,0
58,9,45,0,0,1,1,1
32,9,34,0,0,0,1,0
40,12,60,0,1977,1,1,1
45,9,40,0,0,1,1,0
41,15,40,0,0,0,1,1
42,13,40,0,0,0,1,0
59,6,30,0,0,0,0,0
19,10,40,0,0,1,1,0
58,10,20,0,0,1,1,0
42,9,40,0,0,1,1,1
20,9,40,0,0,0,1,0
32,9,30,0,0,0,0,0
45,11,45,0,0,0,0,0
50,4,40,0,0,1,0,0
36,13,40,0,0,0,0,0
45,9,60,0,0,1,1,0
17,7,12,0,0,1,1,0
59,10,40,4064,0,1,1,0
26,7,40,0,0,1,1,0
37,10,75,0,0,1,1,1
19,10,24,0,0,1,1,0
64,9,40,0,0,1,1,1
33,13,45,0,0,0,1,0
33,9,40,0,0,0,1,1
61,9,40,0,0,1,1,1
17,5,24,1055,0,1,1,0
50,14,98,2407,0,1,1,0
27,14,35,0,0,1,1,0
30,9,40,0,0,0,0,0
43,9,40,0,0,1,1,0
44,10,40,7298,0,1,1,1
35,10,40,0,0,0,1,0
25,10,40,0,0,0,1,0
24,10,48,7298,0,0,1,1
22,13,15,0,0,0,1,0
42,10,40,5178,0,1,1,1
34,12,45,0,0,0,0,0
60,13,42,0,0,0,0,0
21,9,40,0,0,1,1,0
57,14,40,15024,0,1,1,1
41,15,60,0,0,1,1,1
50,10,45,0,0,1,0,0
25,13,40,0,0,0,1,0
50,4,40,0,0,1,1,0
36,13,45,0,0,1,1,0
31,9,40,0,0,0,0,0
29,13,56,0,0,1,1,0
21,10,45,0,0,1,1,0
27,13,40,0,0,0,1,0
65,9,16,0,0,1,1,0
37,13,60,0,0,0,0,0
39,14,40,3464,0,0,1,0
24,9,40,0,0,1,1,0
38,9,80,0,0,1,0,0
48,13,40,7688,0,1,1,1
21,10,25,0,0,0,1,0
31,9,45,0,0,1,1,1
55,9,40,4386,0,1,1,1
24,10,40,0,0,0,1,0
43,9,40,0,0,0,0,0
26,12,45,0,0,1,1,0
46,12,33,0,0,0,1,0
35,12,40,0,0,1,1,1
41,10,54,0,0,1,1,1
26,13,40,0,0,1,1,0
34,14,35,7298,0,1,1,1
19,10,25,0,0,0,1,0
36,13,40,0,0,0,0,1
22,10,15,0,0,1,1,0
24,10,40,0,0,1,1,0
77,10,40,0,0,1,1,0
22,3,40,0,0,0,1,0
29,10,40,0,0,0,1,0
62,9,24,0,0,0,0,0
39,9,40,0,0,1,1,0
43,10,50,0,1485,1,1,0
35,9,45,0,0,1,0,0
29,7,40,0,0,0,1,0
76,14,10,0,0,1,1,0
63,9,45,0,0,1,1,0
23,11,15,0,0,0,1,0
43,10,50,0,1887,0,1,1
58,9,40,0,0,1,1,0
66,9,55,2050,0,1,1,0
41,10,45,0,0,1,1,0
26,13,40,0,0,1,1,0
47,11,40,0,0,1,1,0
55,6,40,0,0,1,1,0
53,9,40,0,0,1,1,0
17,3,48,0,0,1,1,0
30,9,40,0,0,1,1,0
49,14,60,0,0,1,1,0
19,9,30,0,0,1,1,0
45,9,40,0,0,1,1,0
26,12,40,0,0,1,1,0
38,11,40,7298,0,1,1,1
36,9,40,7298,0,1,1,1
33,9,20,0,0,1,1,0
22,10,40,0,0,0,1,0
43,13,42,0,0,1,1,0
67,7,8,0,0,1,1,0
30,11,40,0,0,0,0,0
56,12,25,0,0,1,1,0
31,13,25,0,0,1,1,0
33,13,40,0,0,1,1,1
26,9,40,0,0,1,1,0
33,13,40,0,0,1,1,1
46,7,30,0,0,1,1,0
59,13,40,0,0,1,1,1
38,9,40,0,0,1,1,1
65,7,40,0,0,1,0,0
40,11,40,0,0,1,1,1
42,9,35,0,0,0,1,0
26,5,40,0,0,1,1,0
36,6,24,0,0,0,1,0
62,14,40,0,0,1,1,1
43,13,45,0,0,1,1,0
43,13,45,0,1564,1,0,1
22,9,55,0,0,1,1,0
28,9,40,0,0,1,1,0
56,10,45,0,0,1,1,0
22,12,15,0,0,0,1,0
57,13,45,0,0,0,0,1
39,9,40,0,0,0,0,0
26,10,15,0,0,0,1,0
17,7,10,0,0,1,1,0
40,11,38,0,0,1,1,1
45,9,40,0,0,1,1,0
44,9,40,0,0,1,1,0
20,10,10,0,0,0,1,0
33,9,40,0,0,0,1,0
23,10,40,0,0,1,1,0
46,14,30,0,0,1,0,0
38,9,50,0,0,1,1,0
54,9,40,0,0,1,0,0
46,3,45,0,2339,0,0,0
25,10,40,0,0,1,1,0
46,10,40,0,0,0,0,0
36,10,40,0,0,0,1,0
23,9,25,0,0,0,1,0
29,9,40,0,0,1,0,0
44,10,6,0,2415,0,1,1
19,10,16,0,0,0,1,0
19,9,40,0,0,0,1,0
35,9,40,0,0,0,1,1
27,13,50,0,0,1,1,0
46,12,40,0,0,1,0,0
34,13,45,7688,0,1,1,1
34,9,35,0,0,0,1,0
44,10,40,0,0,1,1,0
45,10,40,0,0,0,0,0
20,9,35,0,0,0,1,0
25,13,55,0,0,1,1,1
52,13,50,0,0,1,1,1
20,10,40,0,0,1,1,0
28,10,40,0,0,0,1,0
50,13,40,0,0,1,1,1
34,11,64,0,0,0,0,0
28,4,40,0,2179,1,1,0
41,14,65,0,1977,1,1,1
28,9,40,0,0,1,1,0
46,9,25,0,0,1,1,0
28,10,40,0,1887,0,1,1
32,10,50,0,0,1,1,0
41,10,24,0,0,0,0,0
24,9,40,0,0,0,1,0
33,10,40,0,0,0,0,0
46,16,60,15024,0,1,1,1
31,10,40,0,0,1,1,0
35,8,50,0,0,1,0,1
52,2,40,0,0,1,1,0
30,7,19,0,0,0,1,0
34,7,40,0,0,1,0,0
34,9,40,0,0,0,0,0
20,10,30,0,0,1,1,0
17,7,18,2176,0,1,1,0
32,13,40,0,0,0,1,1
29,9,40,0,0,1,0,0
33,6,35,0,0,0,1,0
25,9,60,0,0,1,1,0
36,14,40,0,1408,1,1,0
23,9,72,0,0,1,1,0
63,9,40,0,0,1,1,1
47,14,40,0,0,1,1,0
80,9,24,0,0,1,0,0
17,7,40,0,0,1,1,0
40,13,40,2174,0,0,1,0
30,12,25,0,0,0,1,1
27,10,40,0,1980,1,1,0
33,14,50,0,0,1,1,1
34,9,60,594,0,1,1,0
34,10,40,0,0,0,1,0
23,10,40,0,0,1,1,0
42,10,40,0,0,0,1,0
29,13,40,0,0,1,1,0
45,9,28,0,0,0,0,0
24,9,40,0,0,1,1,0
44,10,40,0,0,1,1,1
27,5,40,0,0,1,1,0
20,10,35,0,0,1,1,0
44,9,40,0,0,0,0,0
51,9,40,0,0,1,1,0
20,9,40,0,0,1,1,0
17,7,5,0,0,0,1,0
19,9,40,0,0,0,1,0
45,10,55,0,0,1,1,1
60,9,40,0,0,1,1,1
42,12,40,0,0,1,1,1
44,9,40,0,0,0,1,1
40,11,40,0,0,1,1,1
30,9,40,0,0,0,1,0
38,10,50,0,0,1,1,0
23,9,60,0,0,1,1,0
32,10,40,0,0,1,1,0
44,12,40,0,0,1,1,0
54,9,40,0,0,1,1,0
32,13,50,0,0,1,1,0
50,2,40,0,0,1,1,0
24,13,20,0,0,0,1,0
37,9,60,0,0,0,1,0
52,9,40,0,0,1,0,0
38,10,40,0,0,1,1,0
49,14,45,0,1977,1,1,1
30,13,16,0,0,0,1,1
60,10,40,0,0,1,1,1
22,10,40,0,0,1,1,0
35,9,40,0,0,1,1,0
30,9,60,0,0,1,1,0
67,11,24,0,0,0,0,0
46,13,40,0,0,0,1,0
17,5,6,0,0,1,1,0
22,10,30,0,0,1,1,0
27,6,40,0,0,1,1,0
23,9,35,0,0,0,1,0
33,12,45,0,0,1,1,0
43,10,20,0,0,1,1,0
28,13,20,0,0,1,1,0
41,9,40,0,0,0,1,0
52,8,40,594,0,1,1,0
25,10,20,0,0,0,1,0
63,2,35,0,0,1,1,0
59,9,45,0,0,1,1,0
45,13,40,0,0,0,0,0
38,13,60,15024,0,1,1,1
40,9,35,0,0,0,1,0
46,9,40,0,0,1,0,0
35,12,60,0,0,0,1,0
34,9,25,0,0,0,0,0
33,13,20,0,0,1,1,0
41,9,36,0,0,0,0,0
20,10,40,0,0,1,1,0
23,3,40,0,0,1,1,0
26,10,35,0,0,0,1,0
72,9,20,0,0,1,1,0
23,9,40,0,0,1,1,0
62,9,40,0,0,1,1,0
52,10,40,0,0,1,1,0
58,10,42,0,0,0,0,0
25,13,40,0,0,0,1,0
24,13,40,0,0,1,1,0
19,10,8,0,0,1,1,0
43,10,40,0,0,1,1,0
47,9,40,0,0,0,0,0
39,9,40,0,0,0,0,0
49,11,42,0,1380,1,1,0
53,3,30,0,0,0,0,0
32,11,45,0,0,1,1,0
34,10,50,0,0,1,1,1
28,9,45,0,0,1,0,0
57,11,38,0,0,0,0,0
25,10,20,0,0,0,1,0
20,10,24,0,0,1,1,0
21,10,35,0,0,0,1,0
34,13,50,0,0,1,1,1
38,13,80,15024,0,1,1,1
50,9,50,7688,0,1,1,1
24,10,50,0,0,1,0,0
37,10,45,0,0,1,1,1
44,10,58,0,0,1,0,1
28,10,40,0,0,0,1,0
42,13,40,0,0,1,1,1
74,10,9,0,0,0,0,0
38,9,50,0,0,1,1,0
44,14,40,0,0,1,1,0
44,7,46,0,0,0,0,0
26,9,40,0,0,1,1,0
36,9,40,0,0,1,1,0
41,12,50,0,0,0,1,1
67,15,48,20051,0,1,1,1
39,8,50,0,0,1,1,0
57,2,30,0,0,0,0,0
29,11,40,0,0,1,0,0
31,13,45,0,0,0,1,0
34,9,40,0,0,0,1,0
44,10,40,0,0,1,1,0
29,16,40,0,0,1,1,0
30,10,40,0,0,0,1,0
27,9,40,0,0,1,1,0
27,10,50,0,0,1,1,0
32,9,45,0,0,0,1,0
58,6,8,0,0,0,1,0
35,10,40,0,0,1,1,0
21,9,36,0,0,1,1,0
28,10,40,0,0,1,1,0
46,10,50,0,0,1,0,0
36,9,40,0,0,0,0,0
72,7,40,0,0,0,0,0
35,9,40,0,0,0,1,0
33,11,40,0,0,0,0,1
69,7,40,0,0,0,1,0
35,9,40,0,0,1,1,0
31,9,20,0,0,0,0,0
34,9,32,0,0,0,1,0
30,7,40,0,0,1,1,0
28,13,55,0,0,1,1,0
54,13,35,0,0,1,1,1
47,10,50,0,0,1,1,1
24,9,40,0,0,0,1,0
52,13,60,0,0,1,1,1
20,9,48,0,0,1,1,0
43,14,45,5013,0,1,1,0
45,4,40,0,0,0,0,0
29,9,35,0,0,1,0,0
47,14,42,0,0,1,0,0
24,9,40,0,0,1,1,0
51,9,40,0,0,1,1,0
17,7,12,0,0,1,1,0
37,11,40,0,1977,1,1,1
27,16,70,0,0,0,1,0
29,13,40,0,0,1,1,1
18,8,25,0,0,1,1,0
36,12,35,0,0,0,0,0
58,13,40,0,0,0,1,0
26,10,45,0,0,1,1,0
65,10,30,0,0,1,1,1
57,9,40,0,0,1,1,1
59,9,40,0,0,1,1,0
27,9,40,0,0,1,1,0
31,13,40,0,0,1,1,0
21,10,24,0,0,0,1,0
29,10,60,0,0,1,1,0
18,7,40,0,0,1,1,0
52,6,47,0,1887,1,1,1
57,13,80,0,0,1,0,0
42,9,40,0,0,1,1,0
55,9,40,0,0,0,1,0
60,4,48,0,0,1,1,1
31,13,40,7688,0,1,1,1
23,13,40,0,0,0,1,0
27,9,40,0,0,1,1,0
23,10,25,0,0,0,1,0
42,15,50,0,1902,1,1,1
25,10,40,2174,0,1,1,0
49,13,45,0,0,0,1,0
32,13,40,0,0,1,1,0
19,10,28,0,0,1,1,0
60,4,40,0,0,0,0,0
42,5,40,0,0,1,1,0
35,12,40,0,0,1,1,0
48,9,37,0,0,0,1,0
51,14,40,0,0,1,1,1
29,9,40,0,0,1,1,0
36,9,40,0,0,1,0,0
17,6,21,0,0,0,1,0
52,14,60,6849,0,0,0,0
24,9,40,0,0,1,1,0
24,9,50,0,0,1,1,0
26,13,40,1055,0,1,1,0
27,13,20,0,0,0,1,0
39,9,60,0,0,1,1,0
30,9,45,0,0,1,1,0
50,9,32,0,0,1,1,0
52,13,55,0,0,1,1,0
46,15,45,15024,0,1,1,1
23,13,20,0,0,0,1,0
45,7,20,0,0,0,0,0
65,5,24,0,0,0,0,0
29,11,55,0,0,1,1,0
47,5,40,0,0,1,1,0
30,9,60,0,0,1,1,0
34,9,45,0,0,1,1,1
38,9,64,0,0,1,1,0
33,10,40,0,0,1,1,1
49,13,26,0,0,1,1,1
47,10,40,0,0,0,1,0
49,6,40,0,0,0,0,0
43,10,60,15024,0,1,1,1
30,13,40,0,0,0,1,1
58,9,60,0,0,1,1,0
19,9,14,0,0,0,1,0
21,13,40,0,0,1,1,0
33,13,60,15024,0,1,1,1
47,3,50,0,0,1,1,0
52,16,60,0,0,1,1,1
26,9,55,0,0,1,0,0
60,9,40,0,0,1,1,0
21,10,40,0,0,1,1,0
36,10,50,5178,0,1,1,1
31,10,45,0,0,1,1,0
50,16,40,0,0,1,0,1
31,9,40,0,0,0,0,0
71,9,15,0,0,1,1,0
58,9,50,0,0,1,1,0
30,13,40,0,0,1,1,1
20,10,20,0,0,1,1,0
24,9,50,4101,0,1,1,0
35,16,40,0,0,1,1,1
38,10,45,0,0,0,0,0
27,9,32,0,0,0,1,0
29,10,40,0,0,0,1,0
70,5,15,1111,0,0,0,0
34,9,45,0,0,1,1,0
44,4,35,0,0,1,1,0
43,9,40,0,0,1,1,1
44,8,40,0,0,1,1,1
35,14,60,0,0,1,1,0
27,10,40,0,0,1,1,0
43,14,38,0,0,1,1,0
20,10,25,0,0,0,1,0
42,12,40,8614,0,0,0,1
27,10,40,3411,0,1,1,0
42,9,40,0,0,1,1,1
20,7,40,0,1762,0,1,0
24,5,40,0,1721,1,1,0
48,10,40,0,0,1,0,0
17,7,20,0,0,0,1,0
17,7,10,0,0,1,1,0
33,13,40,0,0,1,1,1
50,9,50,0,0,1,1,1
22,9,40,2597,0,0,1,0
17,8,16,0,0,1,1,0
32,10,40,0,0,1,1,0
31,9,45,0,0,1,1,0
58,9,50,0,0,1,0,0
29,9,48,0,0,1,1,0
37,11,40,0,0,1,1,1
34,9,40,0,0,1,1,1
23,10,40,0,0,1,0,0
18,7,5,0,0,0,1,0
34,9,40,0,0,0,0,0
66,4,4,0,0,1,1,0
45,13,55,0,0,0,1,0
41,14,35,0,0,1,1,0
26,9,30,0,0,1,1,0
54,10,40,0,0,1,1,0
24,10,45,0,0,0,1,0
42,10,50,0,0,1,1,0
20,10,20,0,0,1,1,0
23,13,20,0,0,0,1,0
25,12,45,0,0,1,1,0
35,14,60,0,0,1,1,1
31,14,40,0,1902,1,1,1
30,13,40,0,0,0,1,0
19,9,20,0,0,0,1,0
36,13,50,0,0,1,1,0
31,13,40,0,1380,0,0,0
21,10,30,0,0,1,1,0
31,10,40,0,0,1,1,0
46,16,65,25236,0,0,0,1
44,13,50,0,0,0,0,1
40,8,40,0,0,1,1,0
45,10,40,0,0,1,1,0
60,9,35,0,0,1,1,0
18,7,25,0,0,1,1,0
28,13,40,0,0,1,1,0
36,10,40,0,0,0,0,0
36,13,40,0,0,1,0,0
40,11,40,4386,0,1,1,0
36,13,35,0,0,0,0,0
31,9,40,0,0,0,0,0
33,9,40,0,0,1,1,0
19,9,40,0,0,0,1,0
22,10,15,0,0,0,1,0
34,13,45,0,0,1,1,1
33,9,40,0,0,1,1,0
41,9,60,0,2051,1,1,0
29,13,40,4650,0,1,1,0
50,9,42,0,0,1,1,1
42,13,45,7298,0,1,1,1
43,13,40,0,0,1,1,1
44,9,40,0,0,0,1,0
20,10,20,0,0,0,1,0
31,9,40,0,0,1,1,0
65,7,59,9386,0,1,1,1
23,10,24,0,0,0,1,0
55,10,40,0,0,0,0,0
26,11,45,0,2377,1,1,0
25,11,15,0,0,0,1,0
45,10,40,0,0,0,1,0
35,10,40,2407,0,1,1,0
36,10,36,0,0,0,1,0
43,13,50,0,0,1,1,0
56,9,20,594,0,0,0,0
42,13,40,0,0,1,1,1
19,10,25,0,0,0,1,0
55,9,72,0,0,1,1,0
42,14,50,14084,0,0,1,1
26,11,40,0,0,1,1,0
17,8,20,0,0,1,1,0
42,13,40,0,0,0,1,1
55,9,40,7688,0,1,1,1
32,10,40,0,0,0,1,0
29,7,40,0,0,1,1,0
46,13,37,0,0,1,1,0
29,13,40,7688,0,1,1,1
22,13,20,0,0,1,1,0
58,6,40,0,0,1,1,0
23,9,50,0,0,1,1,0
39,9,40,0,0,1,1,0
27,11,38,0,0,1,1,0
54,9,40,0,0,1,1,1
33,13,45,0,0,0,1,0
46,9,40,0,0,0,1,1
37,9,40,0,0,1,1,0
36,9,18,0,0,0,1,0
59,9,38,0,0,0,1,1
34,9,40,0,0,1,0,0
53,16,70,0,0,1,1,1
51,13,55,0,0,1,1,1
32,6,42,0,0,0,0,0
31,10,40,0,0,1,1,0
22,10,30,0,0,0,1,0
47,13,50,0,0,0,0,0
32,9,40,0,0,1,1,0
26,10,38,0,0,0,1,0
37,3,32,0,0,1,0,0
31,9,55,0,0,1,0,0
37,11,24,0,0,0,1,1
55,9,38,0,0,1,1,0
23,11,56,0,0,1,0,0
36,10,40,0,0,0,0,0
34,14,40,0,0,1,1,0
43,13,50,0,0,1,1,1
54,10,40,0,0,1,1,0
43,10,40,0,0,1,1,0
28,11,42,0,1669,0,1,0
40,11,50,0,0,1,1,1
41,10,60,0,0,1,1,0
40,13,55,0,0,0,1,1
42,10,38,0,0,0,0,0
61,9,50,0,2352,1,1,0
18,8,30,0,0,1,1,0
59,9,16,0,0,1,1,0
21,9,40,1055,0,0,1,0
48,11,50,0,0,1,1,1
41,13,40,0,0,1,1,0
18,10,33,0,0,1,1,0
23,9,40,2463,0,0,1,0
60,9,60,0,0,1,1,1
22,10,20,0,0,1,1,0
61,9,40,0,0,1,1,0
25,9,40,0,0,1,1,0
46,14,35,0,0,1,1,1
43,13,40,0,1902,1,1,1
43,12,40,0,0,1,0,0
24,9,30,0,1721,1,1,0
68,7,20,0,0,1,1,0
31,9,38,0,0,0,0,0
17,7,20,0,0,0,1,0
32,9,48,5178,0,1,1,1
50,14,40,0,0,1,1,0
33,13,47,3103,0,1,1,1
64,13,40,0,0,1,1,1
20,9,30,0,0,1,1,0
30,9,36,0,0,0,0,0
22,10,40,0,0,1,1,0
43,10,45,0,0,1,0,0
22,10,40,0,0,1,1,0
17,6,20,0,0,1,1,0
47,9,75,0,0,0,1,0
41,11,60,0,0,0,1,0
56,10,50,0,0,1,1,1
64,9,45,0,0,1,1,0
47,9,50,0,0,1,1,1
48,11,40,0,0,1,1,0
31,14,46,0,0,0,1,0
29,11,40,0,0,1,1,0
30,9,40,0,0,0,0,0
32,9,60,0,1672,1,1,0
57,9,42,0,653,1,0,1
62,9,40,0,0,0,0,0
39,9,24,0,0,0,0,0
43,10,25,0,0,1,1,0
24,13,40,0,0,1,1,0
42,7,15,0,0,1,1,0
53,10,40,4386,0,0,1,1
26,10,40,0,0,1,1,0
73,9,40,0,0,1,1,0
72,7,24,0,0,0,0,0
55,9,40,0,0,1,1,0
25,9,40,0,0,1,0,0
41,13,50,0,0,0,0,1
24,13,50,0,0,1,1,0
63,9,6,0,0,1,0,0
17,7,20,0,0,1,1,0
35,10,50,0,0,1,1,0
51,10,40,0,0,1,1,1
62,13,48,0,0,0,0,0
55,9,40,4386,0,1,1,1
43,10,40,0,0,1,0,0
40,9,50,0,0,0,0,0
37,13,45,0,0,1,1,1
39,13,40,0,0,1,1,0
31,9,18,0,0,1,1,0
61,14,40,0,0,0,0,1
26,11,55,0,0,0,0,0
46,9,50,0,0,1,1,0
26,13,40,0,0,0,1,0
48,16,50,0,0,1,0,1
34,9,40,0,0,1,1,0
34,9,40,0,0,0,1,0
59,9,40,0,0,1,1,1
34,13,40,0,0,0,1,0
49,13,56,0,0,0,1,1
18,7,20,0,0,0,1,0
43,9,40,0,0,1,1,0
48,7,50,0,0,1,1,0
28,10,70,0,0,1,1,0
